question_num,pred_letter,latency_s
709,G,11.137
710,H,1.696
711,E,1.653
712,D,2.153
713,D,1.261
714,F,2.07
715,B,2.002
716,E,2.212
717,F,1.722
718,D,2.043
719,C,2.279
720,C,2.001
721,F,1.47
722,E,1.272
723,D,2.458
724,B,2.255
725,D,2.292
726,G,2.651
727,E,2.774
728,D,1.959
729,F,1.693
730,B,1.689
731,E,2.191
732,B,2.05
733,B,2.966
734,E,2.641
735,F,1.734
736,G,2.331
737,E,1.811
738,E,1.794
739,D,2.123
740,F,2.502
741,E,4.247
742,C,2.165
743,E,1.741
744,E,2.606
745,E,2.243
746,H,2.362
747,B,2.166
748,E,1.68
749,B,2.502
750,D,2.823
751,D,2.474
752,E,2.408
753,F,3.07
754,E,2.3
755,B,2.324
756,H,2.545
757,C,2.479
758,B,2.304
759,B,3.239
760,B,2.467
761,E,1.537
762,F,4.464
763,E,3.734
764,E,4.928
765,D,4.563
766,G,3.456
767,E,4.351
768,F,2.419
769,E,1.401
770,F,2.736
771,C,3.208
772,F,1.964
773,G,2.676
774,B,2.293
775,C,2.417
776,E,1.991
777,C,1.842
778,E,1.402
779,C,1.86
780,C,2.91
781,C,2.421
782,B,3.228
783,E,3.26
784,B,3.696
785,G,2.803
786,D,3.161
787,D,2.383
788,D,2.431
789,B,2.362
790,D,1.677
791,B,2.791
792,F,2.092
793,E,2.901
794,D,1.998
795,D,2.846
796,E,1.568
797,C,4.415
798,E,3.306
799,F,2.369
800,D,1.884
801,B,2.546
802,D,1.837
803,B,2.834
804,F,1.931
805,F,2.614
806,E,2.195
807,D,3.243
808,G,1.784
809,D,1.798
810,D,1.555
811,B,2.22
812,C,3.165
813,C,2.508
814,F,1.586
815,B,2.087
816,D,2.019
