question_num,pred_letter,latency_s
250,H,5.298
251,E,2.492
252,D,2.556
253,C,2.549
254,E,2.332
255,H,2.516
256,C,2.504
257,E,2.512
258,D,2.301
259,C,2.517
260,D,2.204
261,C,2.337
262,C,2.324
263,E,2.605
264,D,3.467
265,E,2.379
266,G,4.865
267,G,2.243
268,F,1.829
269,B,2.181
270,C,2.001
271,C,1.734
272,G,2.469
273,D,1.755
274,E,1.964
275,B,2.795
276,A,2.634
277,C,2.462
278,E,2.282
279,C,1.264
280,E,2.243
281,G,2.759
282,C,2.128
283,G,2.653
284,E,2.185
285,A,2.851
286,D,2.107
287,H,2.532
288,C,2.595
289,E,2.594
290,C,2.359
291,F,2.693
292,B,1.7
293,E,1.745
294,D,2.247
295,D,3.522
296,D,2.213
297,D,2.211
298,G,5.587
299,F,2.264
300,C,2.134
301,E,1.97
302,F,2.838
303,F,3.278
304,C,3.262
305,D,1.912
306,D,2.701
307,C,4.692
308,E,3.273
309,F,2.656
310,E,2.493
311,E,2.274
312,E,2.409
313,E,2.306
314,C,2.529
315,G,2.607
316,A,2.761
317,F,2.175
318,C,1.226
319,E,1.729
320,E,2.459
321,E,2.37
322,D,2.35
323,C,0.935
324,E,1.616
325,D,2.578
326,F,1.16
327,E,1.713
328,E,2.382
329,A,1.815
330,E,1.799
331,D,1.859
332,E,2.108
333,B,2.337
334,A,2.165
335,E,2.631
336,F,7.362
337,D,2.044
338,E,1.827
339,D,1.353
340,C,1.643
341,C,2.255
342,F,3.285
343,D,1.957
344,D,1.613
345,C,2.612
346,C,2.765
347,C,3.793
348,E,2.988
349,E,2.529
350,E,2.003
351,D,2.733
352,C,2.848
353,E,2.097
354,D,2.097
355,C,2.251
356,D,2.173
357,C,2.87
358,E,1.179
359,E,2.814
360,D,1.86
361,F,3.136
362,D,2.211
363,E,3.762
364,C,2.167
365,H,2.422
366,B,2.62
367,F,2.884
368,H,2.204
369,B,2.059
370,F,2.847
371,C,1.267
372,G,1.647
373,G,3.314
374,E,2.153
375,C,2.433
376,E,2.313
377,E,2.485
378,E,4.518
379,C,1.871
380,G,2.395
381,G,2.377
382,D,1.691
383,C,1.813
384,H,4.185
385,E,2.564
386,E,2.019
387,G,2.932
388,F,1.911
389,E,2.848
390,C,1.834
391,D,4.992
392,F,1.294
393,C,2.161
394,D,1.905
395,D,2.026
396,F,4.135
397,D,2.286
398,C,2.059
399,F,2.242
400,C,1.292
401,B,5.616
402,C,1.861
403,B,2.321
404,D,1.966
405,E,3.558
406,D,1.682
407,D,2.799
408,C,3.199
409,C,1.782
410,B,2.926
411,G,3.476
412,E,2.178
413,B,2.407
414,D,2.296
415,F,2.05
416,E,1.987
417,D,2.552
418,C,1.862
419,B,3.226
420,D,3.129
421,D,2.232
422,D,2.676
423,C,2.601
424,D,1.422
425,D,2.596
426,E,2.089
427,G,1.609
428,G,2.959
429,D,1.381
430,E,2.516
431,E,2.395
432,F,3.415
433,C,1.75
434,G,4.384
435,C,2.899
436,E,2.518
437,F,2.483
438,F,2.513
439,G,2.031
440,C,3.158
441,C,1.853
442,D,3.68
443,E,1.416
444,C,2.292
445,B,2.488
446,E,1.981
447,C,2.117
448,F,2.795
449,D,2.381
450,E,2.091
451,H,2.684
452,E,2.215
453,C,2.436
454,C,2.138
455,D,1.714
456,H,2.23
457,C,2.56
458,G,1.185
459,D,5.229
460,F,1.13
461,B,3.564
462,D,1.403
463,G,1.457
464,D,2.346
465,F,2.538
466,D,1.691
467,H,3.187
468,D,2.681
469,E,3.754
470,G,2.888
471,H,2.798
472,F,2.824
473,B,4.224
474,B,3.706
475,E,1.725
476,G,2.449
477,E,7.02
478,F,1.719
479,F,1.565
480,G,3.272
481,C,1.848
482,D,1.858
483,D,2.219
484,E,2.145
485,G,2.191
486,C,2.268
487,G,2.506
488,B,2.325
489,C,1.523
490,E,1.072
491,E,2.742
492,C,1.719
493,C,1.531
494,E,2.672
495,C,2.633
496,C,1.92
497,D,1.638
498,D,1.846
499,F,1.782
500,F,1.437
501,B,2.043
502,C,3.137
503,D,2.232
504,G,2.401
505,C,1.57
506,G,3.768
507,D,1.61
508,E,1.133
509,D,2.781
510,E,2.432
511,E,3.228
512,E,2.204
513,C,2.269
514,F,2.185
515,E,2.176
516,B,2.677
517,C,1.789
518,H,2.712
519,D,1.486
520,C,2.788
521,D,1.693
522,F,3.153
523,E,1.724
524,E,5.167
525,E,2.135
526,H,1.716
527,D,1.419
528,D,2.366
529,D,3.811
530,A,2.2
531,F,2.04
532,G,2.277
533,D,2.218
534,E,2.066
535,E,1.973
536,A,2.591
537,B,3.612
538,F,3.021
539,F,2.301
540,F,2.064
541,F,3.606
542,E,3.141
543,E,3.246
544,D,2.818
545,A,4.383
546,E,2.263
547,D,2.375
548,C,3.362
549,C,4.294
