question_num,pred_letter,latency_s
0,D,1.957
1,D,2.101
2,F,2.251
3,D,2.575
4,H,2.172
5,I,3.549
6,D,2.249
7,E,1.859
8,E,2.195
9,D,2.519
10,C,2.321
11,B,3.086
12,C,2.932
13,E,2.268
14,C,2.041
15,E,2.294
16,B,2.435
17,C,1.877
18,D,2.276
19,C,3.779
20,G,2.841
21,E,2.071
22,D,2.47
23,H,2.554
24,E,2.285
25,E,1.383
26,E,10.299
27,D,2.954
28,H,2.87
29,C,2.33
30,F,3.499
31,D,3.054
32,E,2.751
33,D,2.523
34,F,1.768
35,E,2.21
36,E,2.519
37,E,1.97
38,E,2.503
39,E,2.713
40,C,2.907
41,B,2.013
42,E,1.712
43,E,4.026
44,C,2.242
45,E,2.645
46,F,1.848
47,C,2.838
48,C,2.469
49,D,2.054
50,D,4.747
51,B,2.549
52,F,3.836
53,E,1.898
54,D,3.44
55,F,2.457
56,C,2.153
57,H,2.31
58,G,2.74
59,A,2.484
60,B,5.519
61,C,2.571
62,B,2.369
63,E,3.37
64,E,1.575
65,D,2.118
66,B,2.478
67,D,2.603
68,G,2.89
69,H,2.004
70,E,1.801
71,D,1.935
72,F,3.247
73,E,2.701
74,E,2.972
75,D,2.328
76,A,2.298
77,F,1.936
78,F,3.568
79,B,5.055
80,H,2.017
81,D,2.67
82,F,2.248
83,D,1.902
84,C,1.967
85,F,2.473
86,E,3.675
87,C,2.678
88,F,2.756
89,D,1.84
90,B,2.158
91,B,1.859
92,G,1.812
93,B,2.544
94,D,2.573
95,D,2.7
96,F,2.492
97,D,2.006
98,D,2.638
99,E,2.053
100,B,2.781
101,D,3.727
102,G,3.62
103,D,1.737
104,B,1.772
105,H,2.88
106,F,1.783
107,D,2.93
108,C,7.725
109,G,2.339
110,C,1.725
111,E,2.633
112,C,2.526
113,C,2.113
114,G,3.281
115,C,5.181
116,F,2.323
117,C,4.089
118,D,3.99
119,D,2.119
120,D,2.034
121,F,2.187
122,E,2.203
123,B,2.525
124,D,2.652
125,D,2.936
126,F,2.212
127,E,2.733
128,B,7.831
129,D,2.199
130,D,2.294
131,G,2.629
132,F,2.496
133,G,5.834
134,D,2.691
135,D,2.345
136,E,3.208
137,D,1.929
138,A,2.486
139,D,1.973
140,D,3.978
141,E,2.189
142,E,2.401
143,D,3.214
144,F,2.771
145,D,3.659
146,B,2.858
147,C,1.743
148,E,2.264
149,F,1.965
150,F,3.023
151,D,1.991
152,C,1.998
153,B,4.119
154,D,2.212
155,E,1.949
156,E,2.435
157,C,2.18
158,E,2.468
159,E,1.745
160,C,2.716
161,C,2.556
162,D,1.601
163,G,1.902
164,D,1.951
165,D,2.604
166,F,1.827
167,D,1.5
168,A,3.304
169,E,1.939
170,D,2.085
171,D,3.917
172,D,2.669
173,D,2.149
174,E,1.69
175,D,2.298
176,D,2.517
177,B,3.874
178,F,2.221
179,C,2.229
180,H,2.942
181,C,1.513
182,D,2.451
183,E,2.48
184,G,1.844
185,B,2.511
186,C,2.538
187,E,1.83
188,E,2.152
189,C,2.297
190,D,3.147
191,D,1.951
192,E,2.529
193,F,1.823
194,E,2.33
195,E,1.864
196,B,1.808
197,F,3.917
198,B,1.936
199,E,2.795
200,C,1.354
201,C,3.082
202,C,2.196
203,G,2.155
204,E,1.961
205,G,4.4
206,G,2.086
207,E,2.224
208,D,3.882
209,D,2.683
210,F,1.961
211,B,2.132
212,D,2.998
213,G,4.138
214,D,3.613
215,E,3.738
216,G,2.182
217,C,2.366
218,C,2.474
219,F,3.069
220,C,1.736
221,B,2.43
222,D,2.582
223,D,2.781
224,B,2.807
225,D,3.583
226,D,2.09
227,E,3.134
228,F,2.549
229,E,2.61
230,B,2.443
231,C,3.267
232,E,2.322
233,B,3.327
234,E,2.546
235,C,5.665
236,C,2.609
237,E,1.734
238,C,2.412
239,C,2.614
240,D,2.513
241,C,3.243
242,E,2.548
243,B,2.821
244,E,2.42
245,G,2.119
246,D,2.117
247,C,2.47
248,C,3.345
249,E,2.954
